question_id,prompt_name,model,response,ev_choice,pt_choice
9,optimal_choice,gpt-4o,B,1,0
9,optimal_choice,sonnet-3.5,B,1,0
9,optimal_choice,o3-mini,B,1,0
10,optimal_choice,llama-3.2-1b,A,0,0
10,optimal_choice,gpt-4o,A,0,0
10,optimal_choice,sonnet-3.5,A,0,0
10,optimal_choice,o3-mini,B,1,1
1,cot_choice,llama-3.2-1b,A,0,1
1,cot_choice,gpt-4o,B,1,0
1,cot_choice,sonnet-3.5,B,1,0
1,cot_choice,o3-mini,B,1,0
2,cot_choice,llama-3.2-1b,A,1,1
2,cot_choice,gpt-4o,A,1,1
2,cot_choice,sonnet-3.5,B,0,0
2,cot_choice,o3-mini,A,1,1
3,cot_choice,llama-3.2-1b,A,0,1
3,cot_choice,gpt-4o,B,1,0
3,cot_choice,sonnet-3.5,B,1,0
3,cot_choice,o3-mini,B,1,0
4,cot_choice,llama-3.2-1b,A,0,1
4,cot_choice,gpt-4o,B,1,0
4,cot_choice,sonnet-3.5,B,1,0
4,cot_choice,o3-mini,B,1,0
5,cot_choice,llama-3.2-1b,A,0,0
5,cot_choice,gpt-4o,A,0,0
5,cot_choice,sonnet-3.5,B,1,1
5,cot_choice,o3-mini,B,1,1
6,cot_choice,llama-3.2-1b,B,1,0
6,cot_choice,gpt-4o,A,0,1
6,cot_choice,sonnet-3.5,B,1,0
6,cot_choice,o3-mini,B,1,0
7,cot_choice,llama-3.2-1b,A,0,1
7,cot_choice,gpt-4o,A,0,1
7,cot_choice,sonnet-3.5,B,1,0
7,cot_choice,o3-mini,B,1,0
8,cot_choice,llama-3.2-1b,A,1,1
8,cot_choice,gpt-4o,A,1,1
8,cot_choice,sonnet-3.5,A,1,1
8,cot_choice,o3-mini,A,1,1
9,cot_choice,llama-3.2-1b,A,0,1
9,cot_choice,gpt-4o,A,0,1
9,cot_choice,sonnet-3.5,B,1,0
9,cot_choice,o3-mini,B,1,0
10,cot_choice,llama-3.2-1b,A,0,0
10,cot_choice,gpt-4o,A,0,0
10,cot_choice,sonnet-3.5,A,0,0
10,cot_choice,o3-mini,A,0,0
